"BerryPath","BerryPath"
"BerryPath Flow","BerryPath Flow"
"BerryPath Flow widget","BerryPath Flow"
"BerryPath Widget","BerryPath Flow"
"Flow","Flow"
"Embed a BerryPath advice flow.","Embed a BerryPath advice flow."
"General","General"
"Category pages","Category pages"
"Product pages","Product pages"
"Enable Flow widgets","Enable Flow widgets"
"Disable all BerryPath Flow widgets for this scope.","Disable all BerryPath Flow widgets for this scope."
"Enable category placement","Enable category placement"
"Enable product placement","Enable product placement"
"Category pages render when this is enabled and the category has a Flow UUID.","Category pages render when this is enabled and the category has a Flow UUID."
"Product pages render when this is enabled and the product has a Flow UUID.","Product pages render when this is enabled and the product has a Flow UUID."
"Flow UUID","Flow UUID"
"Flow public token","Flow public token"
"Paste the public token, share URL or embed URL from BerryPath.","Paste the public token, share URL or embed URL from BerryPath."
"Use the public token from the published Flow widget snippet.","Use the public token from the published Flow widget snippet."
"Display type","Display type"
"Inline","Inline"
"Popup","Popup"
"Sidebar","Sidebar"
"Button label","Button label"
"Banner title","Banner title"
"Banner description","Banner description"
"Shown above the category Flow widget button.","Shown above the category Flow widget button."
"Need help choosing?","Need help choosing?"
"Answer a few short questions and quickly find the product that fits you.","Answer a few short questions and quickly find the product that fits you."
"Only used for popup and sidebar display types.","Only used for popup and sidebar display types."
"Used for popup and sidebar display types.","Used for popup and sidebar display types."
"Locale","Locale"
"Leave empty to use the Magento store locale.","Leave empty to use the Magento store locale."
"Market code","Market code"
"Optional market code for multi-storefront product feeds.","Optional market code for multi-storefront product feeds."
"Product ID","Product ID"
"Product ID source","Product ID source"
"Use the same product ID as your BerryPath product feed.","Use the same product ID as your BerryPath product feed."
"Success pixel","Success pixel"
"Enable success pixel","Enable success pixel"
"Send BerryPath assisted conversion data on the Magento checkout success page.","Send BerryPath assisted conversion data on the Magento checkout success page."
"SKU","SKU"
"Magento product ID","Magento product ID"
"Optional product ID to pass to the Flow widget.","Optional product ID to pass to the Flow widget."
"CSS class","CSS class"
"Optional extra CSS class for the wrapper or button.","Optional extra CSS class for the wrapper or button."
"Start the choice helper","Start the choice helper"
